username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
PatriciaWilhoit,Retired Sp. Education teacher. MAGA. NRA. will ignore DMs,"Texas, USA",4939,4186,128794,2012-03-10 14:02:42,2020-08-27 03:46:02,17,This scene greeted me when I came home from work...and all was right in my world 😍 #BestMomEver #BestKidsEver #FamilyTime #BluesClues #Khaleesi #Quattro #Brightness #LuckiestManInTheWorld https://t.co/63IwyBRnwa,"[{'text': 'BestMomEver', 'indices': [101, 113]}, {'text': 'BestKidsEver', 'indices': [114, 127]}, {'text': 'FamilyTime', 'indices': [128, 139]}]"
HausOfClarke,"Emilia is my wife.
25 | She / Her | Bisexual",Dany's bed,357,486,11874,2019-12-20 04:22:07,2020-08-27 03:35:39,64,"Daenerys commission 🐉. I miss waiting for new episodes of GoT 😭...
#sketch #doodle #drawing #art #traditionalart #animation #cartoon #daenerystargaryen #gameofthrones #emiliaclarke #artists #artistsoninstagram https://t.co/zhNgRjvS2a","[{'text': 'sketch', 'indices': [87, 94]}, {'text': 'doodle', 'indices': [95, 102]}, {'text': 'drawing', 'indices': [103, 111]}, {'text': 'art', 'indices': [112, 116]}, {'text': 'traditionalart', 'indices': [117, 132]}]"
Reylo713,"NYG-NYK-NYM-NYI. Wrestling fan. SpongeBob is life. Unapologetically ships #Reylo, #SpiderMarvel, #Jonerys, #SuperWonder and #Anidala. #KAG ((Fan account))",Somewhere interesting ,2820,1180,96001,2019-02-15 03:49:09,2020-08-27 03:30:27,0,Dany deserved better. #DaenerysTargaryen https://t.co/cPJYcXeX8T,"[{'text': 'DaenerysTargaryen', 'indices': [22, 40]}]"
pfc7,Tact: The ability to tell a man to go to hell and make him feel happy to be on his way!,,401,176,1460,2008-09-20 15:07:09,2020-08-27 02:38:55,17,This scene greeted me when I came home from work...and all was right in my world 😍 #BestMomEver #BestKidsEver #FamilyTime #BluesClues #Khaleesi #Quattro #Brightness #LuckiestManInTheWorld https://t.co/63IwyBRnwa,"[{'text': 'BestMomEver', 'indices': [101, 113]}, {'text': 'BestKidsEver', 'indices': [114, 127]}, {'text': 'FamilyTime', 'indices': [128, 139]}]"
CmndrLex,Bisexual Mexican🇲🇽 she/her—- I ship a lot of ships - supercorp biker gang,🌈🦈,671,2088,165731,2009-07-21 23:40:20,2020-08-27 02:37:47,10,"Pick one ship with an K 

#Klave #Klaroline #Karamel #Khaleesi #GameOfThrones #SupergirlCW #Supergirl #TheUmbrellaAcademy #TheOriginals #TheVampireDiaries","[{'text': 'Klave', 'indices': [46, 52]}, {'text': 'Klaroline', 'indices': [53, 63]}, {'text': 'Karamel', 'indices': [64, 72]}, {'text': 'Khaleesi', 'indices': [73, 82]}, {'text': 'GameOfThrones', 'indices': [83, 97]}, {'text': 'SupergirlCW', 'indices': [98, 110]}, {'text': 'Supergirl', 'indices': [111, 121]}]"
Trumpsters45,"God, Country, Trump! Veteran,  🇺🇸Patriots, Proud Deplorable's #Maga#Kag #BackTheBlue #SupportTheTroops #AllLivesMatter",,3470,4731,155651,2014-02-22 13:13:45,2020-08-27 02:23:41,17,This scene greeted me when I came home from work...and all was right in my world 😍 #BestMomEver #BestKidsEver #FamilyTime #BluesClues #Khaleesi #Quattro #Brightness #LuckiestManInTheWorld https://t.co/63IwyBRnwa,"[{'text': 'BestMomEver', 'indices': [101, 113]}, {'text': 'BestKidsEver', 'indices': [114, 127]}, {'text': 'FamilyTime', 'indices': [128, 139]}]"
jessiej282,"🚂🇺🇸I am a 37 year old Trump Supporter, and I will never be sorry for that. #MAGA #KAG2020 #TRUMP 🇺🇸🚂",,4955,3679,4469,2012-08-17 02:18:09,2020-08-27 01:59:49,17,This scene greeted me when I came home from work...and all was right in my world 😍 #BestMomEver #BestKidsEver #FamilyTime #BluesClues #Khaleesi #Quattro #Brightness #LuckiestManInTheWorld https://t.co/63IwyBRnwa,"[{'text': 'BestMomEver', 'indices': [101, 113]}, {'text': 'BestKidsEver', 'indices': [114, 127]}, {'text': 'FamilyTime', 'indices': [128, 139]}]"
telephonedave,"#Christian #MAGA #KAG #Conservative #FollowBackPatriots 🇺🇲 #Trump2020 #ExonerateFlynnNow - ❤ Dogs, ❤ Animals - ❤ my wife, kids and grandkids.  No DM's please.","Nebraska, USA",19368,18702,245408,2017-05-21 18:52:12,2020-08-27 01:51:53,17,This scene greeted me when I came home from work...and all was right in my world 😍 #BestMomEver #BestKidsEver #FamilyTime #BluesClues #Khaleesi #Quattro #Brightness #LuckiestManInTheWorld https://t.co/63IwyBRnwa,"[{'text': 'BestMomEver', 'indices': [101, 113]}, {'text': 'BestKidsEver', 'indices': [114, 127]}, {'text': 'FamilyTime', 'indices': [128, 139]}]"
DarkFire_18,Lover of life and proud of the talented and beautiful Katie Mcgrath #Supercorp #KatieMcGrath #Agentcorp #Reingcorp #Avalance #MelissaBenoist,"Los Angeles, CA",603,618,14504,2017-06-17 18:35:19,2020-08-27 01:46:52,10,"Pick one ship with an K 

#Klave #Klaroline #Karamel #Khaleesi #GameOfThrones #SupergirlCW #Supergirl #TheUmbrellaAcademy #TheOriginals #TheVampireDiaries","[{'text': 'Klave', 'indices': [46, 52]}, {'text': 'Klaroline', 'indices': [53, 63]}, {'text': 'Karamel', 'indices': [64, 72]}, {'text': 'Khaleesi', 'indices': [73, 82]}, {'text': 'GameOfThrones', 'indices': [83, 97]}, {'text': 'SupergirlCW', 'indices': [98, 110]}, {'text': 'Supergirl', 'indices': [111, 121]}]"
leasertail,"Proud to be an American. Love God, family & country. Michigan girl. Trump is my President. #MAGA",,2275,4744,353029,2012-03-12 18:40:17,2020-08-27 01:46:09,17,This scene greeted me when I came home from work...and all was right in my world 😍 #BestMomEver #BestKidsEver #FamilyTime #BluesClues #Khaleesi #Quattro #Brightness #LuckiestManInTheWorld https://t.co/63IwyBRnwa,"[{'text': 'BestMomEver', 'indices': [101, 113]}, {'text': 'BestKidsEver', 'indices': [114, 127]}, {'text': 'FamilyTime', 'indices': [128, 139]}]"
EllenGuthrie19,movies new york,,1039,288,183524,2017-10-19 19:12:40,2020-08-27 01:40:05,17,This scene greeted me when I came home from work...and all was right in my world 😍 #BestMomEver #BestKidsEver #FamilyTime #BluesClues #Khaleesi #Quattro #Brightness #LuckiestManInTheWorld https://t.co/63IwyBRnwa,"[{'text': 'BestMomEver', 'indices': [101, 113]}, {'text': 'BestKidsEver', 'indices': [114, 127]}, {'text': 'FamilyTime', 'indices': [128, 139]}]"
MortarJimmy,get back mothaf***er ya don't know me like that.,,413,49,3197,2020-01-07 03:28:11,2020-08-27 01:35:32,17,This scene greeted me when I came home from work...and all was right in my world 😍 #BestMomEver #BestKidsEver #FamilyTime #BluesClues #Khaleesi #Quattro #Brightness #LuckiestManInTheWorld https://t.co/63IwyBRnwa,"[{'text': 'BestMomEver', 'indices': [101, 113]}, {'text': 'BestKidsEver', 'indices': [114, 127]}, {'text': 'FamilyTime', 'indices': [128, 139]}]"
TbirdTr3y_10,"Fightin' Texas Aggie '10 & HUGE fan of the San Antonio Spurs. Christian. Lesser half of YouTube's ""The Right Brothers."" My wife & kids are my reason for living!","San Antonio, TX",16698,25590,41356,2013-06-03 23:18:51,2020-08-27 01:30:28,17,This scene greeted me when I came home from work...and all was right in my world 😍 #BestMomEver #BestKidsEver #FamilyTime #BluesClues #Khaleesi #Quattro #Brightness #LuckiestManInTheWorld https://t.co/63IwyBRnwa,"[{'text': 'BestMomEver', 'indices': [83, 95]}, {'text': 'BestKidsEver', 'indices': [96, 109]}, {'text': 'FamilyTime', 'indices': [110, 121]}, {'text': 'BluesClues', 'indices': [122, 133]}, {'text': 'Khaleesi', 'indices': [134, 143]}, {'text': 'Quattro', 'indices': [144, 152]}, {'text': 'Brightness', 'indices': [153, 164]}, {'text': 'LuckiestManInTheWorld', 'indices': [165, 187]}]"
Carivintas,Caritas (charity) + Vin (wine) = Carvintas. We blend wine with charity!,"Solvang, CA",245,358,408,2009-07-16 23:49:46,2020-08-26 23:30:04,0,"In honor of #NationalDogDay , here are three of our favorite coverpups, #Maya #Bella and #Khaleesi doing their part to help rescue animals. They are on wine bottles as well as a Winery Dog Book! You can pick up your… https://t.co/Lolw8kBgYB","[{'text': 'NationalDogDay', 'indices': [12, 27]}, {'text': 'Maya', 'indices': [72, 77]}, {'text': 'Bella', 'indices': [78, 84]}, {'text': 'Khaleesi', 'indices': [89, 98]}]"
EvolvedAura,Alexis | INFJ-T | 20歳 | 🐉♋️🏳️‍🌈🎮 | Aspiring Creative | Digital Artist | 百合/GL Enthusiast 🌸 | Rocky🥊 | Japan is my plan ✈️🇯🇵 | Your average dork (っ˘ω˘ς ),Alt= @EvolvedAlexis 📚,1137,1787,49428,2012-07-16 02:15:01,2020-08-26 23:08:39,5,"Who's a good boy?! 

Drogon and Daenerys wish you a Happy International Dog Day!
https://t.co/rMQbYGMfyz

#SideshowCollectibles #InternationalDogDay #NationalDogDay #GameOfThrones #Drogon #Daenerys #DaenerysTargaryen #Threezero https://t.co/Qvg2wZluu1",[]
Jackmed44,,,479,124,44941,2017-02-16 17:26:33,2020-08-26 22:53:20,5,"Who's a good boy?! 

Drogon and Daenerys wish you a Happy International Dog Day!
https://t.co/rMQbYGMfyz

#SideshowCollectibles #InternationalDogDay #NationalDogDay #GameOfThrones #Drogon #Daenerys #DaenerysTargaryen #Threezero https://t.co/Qvg2wZluu1",[]
BlueCat1221,"Remember the past, live in the present, but look forward to the future. #TCKT until I'm 6 feet under.",litter box,897,378,21857,2015-11-04 20:06:18,2020-08-26 22:48:28,5,"Who's a good boy?! 

Drogon and Daenerys wish you a Happy International Dog Day!
https://t.co/rMQbYGMfyz

#SideshowCollectibles #InternationalDogDay #NationalDogDay #GameOfThrones #Drogon #Daenerys #DaenerysTargaryen #Threezero https://t.co/Qvg2wZluu1",[]
Astraea_Styx,Britt. 30. She/her-Animal nut-vegetarian-activist-film/art lover-pansexual-demiromantic-atheist-aspiring author and director. NSFW happens. Banner @_akreon_.,"New Jersey, USA",420,1148,631288,2009-09-23 06:10:32,2020-08-26 22:32:47,5,"Who's a good boy?! 

Drogon and Daenerys wish you a Happy International Dog Day!
https://t.co/rMQbYGMfyz

#SideshowCollectibles #InternationalDogDay #NationalDogDay #GameOfThrones #Drogon #Daenerys #DaenerysTargaryen #Threezero https://t.co/Qvg2wZluu1",[]
